카드이름,카드혜택,연회비,전월실적
신한카드 Mr.Life,"공과금
10% 할인
마트,편의점
10% 할인
식음료
10% 할인","해외겸용 15,000원",전월실적 30만원 이상
신한카드 Deep Dream,"모두드림
0.7% 적립
더해드림
2.1% 적립
챙겨드림
3.5% 적립","해외겸용 8,000원",전월실적 없음
신한카드 Deep Oil,"4개정유사
10% 할인
차량서비스
10% 할인
편의점/커피/택시
5% 할인","해외겸용 10,000원",전월실적 30만원 이상
신한카드 Deep Dream(모베러웍스),"모두드림
0.7% 적립
더해드림
2.1% 적립
챙겨드림
3.5% 적립","해외겸용 10,000원",전월실적 없음
신한카드 B.Big(삑),"대중교통
200~600원 할인
택시
10% 할인
KTX
10% 할인","해외겸용 10,000원",전월실적 30만원 이상
신한카드 Deep Dream Platinum+,"모두드림
최대 1.1% 적립
더해드림
최대 3.3% 적립
챙겨드림
최대 5.5% 적립","해외겸용 30,000원",전월실적 없음
신한카드 Hi-Point,"전국가맹점
0.2~2.0% 적립
특정가맹점
1~5% 적립
현대오일뱅크
60원/L 적립","해외겸용 8,000원",전월실적 없음
신한카드 The BEST-F,"캐시백형
1% 캐시백
대한항공형
1,500원/1마일 적립
기프트옵션
1회/연 제공","해외겸용 202,000원",전월실적 없음
아시아나 신한카드 Air 1.5,"1,000원당
1.5마일 기본적립
1,000원당
3마일 추가적립
국내
공항라운지 무료이용","국내전용 43,000원 / 해외겸용 45,000원",전월실적 50만원 이상
알뜰교통카드,"대중교통/택시
10% 할인
마트/편의점
10% 할인
전기차 충전 최대
50% 할인","해외겸용 12,000원",전월실적 30만원 이상
신한카드 RPM+ Platinum#,"모든주유소
40~150P/L 적립
모든충전소
10~50P/L 적립
모든가맹점
0.2~2% 적립","해외겸용 32,000원",전월실적 50만원 이상
신한카드 The CLASSIC+,"1,500원당
1마일 적립
1,000원당
1마일 적립
PP카드
무료 제공","해외겸용 120,000원",전월실적 30만원 이상
메리어트 본보이™ 더 베스트 신한카드,"메리어트 참여호텔
무료숙박권 제공
메리어트 참여호텔 이용시
5P/1천원 적립
메리어트 본보이™ 멤버십
골드엘리트 제공","국내전용 264,000원 / 해외겸용 267,000원",전월실적 없음
신한카드 Unboxing,"온라인종합몰
10% 캐시백
편의점
10% 캐시백
배송비 건당
2,500원 할인","국내전용 32,000원 / 해외겸용 35,000원",전월실적 40만원 이상
신한카드 Puzzle,"국내외이용금액
최대1.1% 적립
전월이용금액
20만원 이월서비스
기본/선택서비스팩
최대3개 제공","국내전용 15,000원 / 해외겸용 18,000원",전월실적 없음
카카오뱅크 신한카드,"결제하는만큼
최대5만원 캐시백
배달앱
3천원 캐시백
해외수수료
전액 할인","국내전용 15,000원 / 해외겸용 15,000원",전월실적 없음
신한카드 The More(더모아),"전가맹점 결제금액
1천원미만 기본적립
특별가맹점 결제금액
1천원미만 더블적립
연간 적립포인트
10% 추가적립","국내전용 15,000원 / 해외겸용 18,000원",전월실적 30만원 이상
