,customer,gender,age,card_name,date,merchant,amount,company,installment,location,category,point
0,C024,F,30,마일앤조이카드(대한항공),2023-01-19,면세점,17702,IBK기업은행,12,제주,여행/교통,TOP POINT1
1,C018,M,50,삼성 iD SIMPLE 카드,2022-12-21,자동차용품,1148,삼성카드,20,부산,자동차,보너스포인트
2,C045,F,60,K-FIRST (모바일전용),2023-02-02,할인점/슈퍼마켓,80319,BC카드,13,대전,유통,TOP POINT2
3,C048,M,40,신한카드 Deep Oil,2022-12-17,농수산물,31451,신한카드,16,제주,음/식료품,마이신한포인트
4,C006,F,70,신세계 BC 바로 리워드 플러스,2023-04-10,LPG,5251,BC카드,16,경북,주유,네이버 포인트
5,C050,M,10,탄탄대로 올쇼핑 티타늄카드,2023-03-17,자동차판매,1072,KB국민카드,29,인천,자동차,포인트리
6,C020,M,70,다담카드,2022-11-30,한의원,2309,KB국민카드,6,서울,의료,포인트리
7,C030,M,50,현대카드ZERO Edition2(할인형),2022-05-15,한의원,12089,현대카드,6,충북,의료,M-POINT
8,C050,M,10,탄탄대로 올쇼핑 티타늄카드,2022-07-20,업무서비스,21919,KB국민카드,31,대구,가정생활/서비스,포인트리
9,C015,M,60,현대카드ZERO Edition2(할인형),2022-08-10,네이버 쇼핑,134473,현대카드,18,경기,전자상거래,네이버 포인트
10,C038,F,20,별다줄카드,2022-10-29,중식,6942,NH농협카드,17,울산,요식/유흥,NH포인트
11,C033,F,40,BLISS.7 카드(포인트),2022-10-29,자동차용품,1299,IBK기업은행,14,인천,자동차,네이버 포인트
12,C034,F,50,마일앤조이카드(아시아나),2022-05-11,호텔,13131,IBK기업은행,29,인천,여행/교통,TOP POINT1
13,C025,F,50,신한카드 래플(Raffle),2022-12-13,주유소,3741,신한카드,32,전남,주유,마이신한포인트
14,C017,M,60,NH20 해봄카드,2022-09-30,의복/의류,1870,NH농협카드,25,전북,의류/잡화,네이버 포인트
15,C002,F,30,카드의정석 POINT,2023-03-23,미용실,6167,우리카드,6,부산,미용,네이버 포인트
16,C004,F,40,THE iD. PLATINUM(포인트),2022-07-01,통신,34672,삼성카드,17,충북,가정생활/서비스,보너스포인트
17,C016,M,40,NH20 해봄카드,2022-07-06,자동차서비스,1473,NH농협카드,10,전남,자동차,NH포인트
18,C015,M,60,NH올원 All100(올백)카드,2022-12-20,KTX,25019,NH농협카드,20,강원,여행/교통,NH포인트
19,C038,F,20,별다줄카드,2023-03-06,중식,20523,NH농협카드,32,경북,요식/유흥,네이버 포인트
20,C041,M,30,KB국민 My WE:SH 카드,2022-09-27,KTX,19781,KB국민카드,26,인천,여행/교통,포인트리
21,C041,M,30,KB국민 My WE:SH 카드,2022-11-30,항공,15531,KB국민카드,31,세종,여행/교통,포인트리
22,C026,M,20,삼성 iD ON 카드,2023-03-09,노래방,14802,삼성카드,17,대구,요식/유흥,보너스포인트
23,C031,M,20,삼성카드 taptap O,2023-01-12,약국,6668,삼성카드,25,강원,의료,보너스포인트
24,C038,F,20,밸런스 카드,2022-09-15,정육점,46940,BC카드,34,울산,음/식료품,네이버 포인트
25,C020,M,70,신한카드 Deep Dream Platinum+,2023-02-20,미용서비스,6050,신한카드,19,강원,미용,마이신한포인트
26,C008,F,50,1Q Daily+,2023-02-11,세탁소,33669,하나카드,22,부산,가정생활/서비스,네이버 포인트
27,C020,M,70,신한카드 Deep Dream Platinum+,2022-11-02,농수산물,14957,신한카드,23,세종,음/식료품,마이신한포인트
28,C010,M,60,톡톡D 카드,2022-05-21,생활잡화,20053,KB국민카드,34,울산,유통,네이버 포인트
29,C003,M,20,BC 바로 에어 플러스,2022-08-26,패션/잡화,1750,BC카드,24,경북,의류/잡화,TOP POINT2
30,C032,M,20,BC 바로 페이백 플러스,2022-11-02,가구,2506,BC카드,7,인천,가전/가구,네이버 포인트
31,C020,M,70,다담카드,2022-05-16,가전,2237,KB국민카드,35,울산,가전/가구,포인트리
32,C018,M,50,신세계 BC 바로 리워드 플러스,2022-10-29,가전,1076,BC카드,6,광주,가전/가구,TOP POINT2
33,C044,F,30,Smart Any 카드(스마트애니),2022-09-27,자동차판매,1433,하나카드,34,경기,자동차,네이버 포인트
34,C013,F,30,LOCA LIKIT 1.2,2022-09-23,서점,4401,롯데카드,20,제주,스포츠/문화/레저,네이버 포인트
35,C012,F,30,현대카드 M BOOST,2023-03-10,주유소,5257,현대카드,7,충북,주유,M-POINT
36,C045,F,60,K-FIRST (모바일전용),2022-05-27,패스트푸드,31276,BC카드,14,대구,요식/유흥,TOP POINT2
37,C048,M,40,신한카드 Deep Oil,2022-08-07,화장품,8885,신한카드,11,광주,미용,네이버 포인트
38,C018,M,50,삼성 iD SIMPLE 카드,2023-04-15,화장품,12570,삼성카드,35,충남,미용,네이버 포인트
